ip,port,category,org,product,version,city,hostnames
172.103.38.51,23,Telnet (23),Clearnetworx,,,Montrose,
170.10.72.14,23,Telnet (23),Region 10,,,Montrose,14-72-10-170.static.in-addr.arpa.elevatefiber.com
50.30.19.33,22,SSH (22),Clearnetworx,Cisco SSH,2.0,Montrose,
206.123.219.9,22,SSH (22),Clearnetworx,,,Montrose,
208.103.177.1,22,SSH (22),Clearnetworx,,,Montrose,
98.127.17.122,22,SSH (22),Charter Communications LLC,OpenSSH,6.6.1p1 Debian 4~bpo70+1,Montrose,syn-098-127-017-122.res.spectrum.com
209.206.82.78,22,SSH (22),ELEVATE,OpenSSH,7.4p1 Debian 10+deb9u7,Montrose,78-82-206-209.static.in-addr.arpa.elevatefiber.com
172.103.36.119,22,SSH (22),Clearnetworx,OpenSSH,8.2p1 Ubuntu 4ubuntu0.13,Montrose,
172.103.37.241,22,SSH (22),Clearnetworx,,,Montrose,
50.30.19.105,22,SSH (22),Clearnetworx,Cisco SSH,2.0,Montrose,
170.10.84.196,22,SSH (22),ELEVATE,OpenSSH,9.6,Montrose,196-84-10-170.static.in-addr.arpa.elevatefiber.com
135.129.109.188,22,SSH (22),Clearnetworx,OpenSSH,8.4p1 Debian 5+deb11u5,Montrose,
69.146.55.141,22,SSH (22),Charter Communications LLC,Dropbear sshd,0.52,Montrose,syn-069-146-055-141.res.spectrum.com
209.206.78.54,22,SSH (22),ELEVATE,Dropbear sshd,2019.78,Montrose,54-78-206-209.static.in-addr.arpa.elevatefiber.com
216.189.52.249,22,SSH (22),High Speed Web/Genesis 2 Networks,OpenSSH,8.9p1 Ubuntu 3ubuntu0.14,Montrose,
50.30.19.65,22,SSH (22),Clearnetworx,,,Montrose,
98.127.17.227,22,SSH (22),Charter Communications LLC,Dropbear sshd,2018.76,Montrose,syn-098-127-017-227.res.spectrum.com
206.123.208.145,22,SSH (22),Clearnetworx,,,Montrose,
216.189.52.251,22,SSH (22),High Speed Web/Genesis 2 Networks,OpenSSH,8.9p1 Ubuntu 3ubuntu0.14,Montrose,
170.10.64.102,22,SSH (22),ELEVATE,OpenSSH,7.6p1 Ubuntu 4ubuntu0.5,Montrose,mail.elevatefiber.net
135.129.109.11,22,SSH (22),Clearnetworx,,,Montrose,
206.123.208.153,22,SSH (22),Clearnetworx,,,Montrose,
